id,edad,genero,tipo_ocupacion,tipo_vivienda,nivel_ahorro,saldo_categoria,saldo_cuenta_cop,monto_credito_cop,plazo_meses,proposito_credito,estado_pago_previo,riesgo
1,36.0,M,informal,arrendada,bajo,medio,,2213000.0,18.0,electrodomesticos,al_dia,bueno
2,41.0,M,formal_calificado,familiar,alto,sin_cuenta,0.0,4652000.0,,negocio,al_dia,bueno
3,,F,informal,arrendada,bajo,medio,790000.0,3287855.0,24.0,libre_inversion,mora_severa,malo
4,34.0,M,informal,arrendada,muy_alto,bajo,116000.0,5969000.0,48.0,electrodomesticos,mora_severa,bueno
5,42.0,M,informal,arrendada,medio,medio,591000.0,4631000.0,33.0,remodelacion,al_dia,bueno
6,34.0,F,,propia,bajo,bajo,204000.0,6311000.0,33.0,vehiculo,mora_severa,malo
7,38.0,F,formal_no_calificado,propia,bajo,sin_cuenta,0.0,,30.0,libre_inversion,al_dia,bueno
8,37.0,M,informal,arrendada,medio,bajo,396000.0,4389788.0,27.0,libre_inversion,sin_creditos_previos,bueno
9,42.0,F,informal,propia,alto,alto,2074000.0,2456000.0,36.0,libre_inversion,mora_severa,malo
10,32.0,M,formal_calificado,propia,alto,medio,1210000.0,7714000.0,18.0,remodelacion,mora_severa,bueno
11,46.0,F,informal,propia,bajo,bajo,278000.0,3627000.0,27.0,remodelacion,al_dia,bueno
12,31.0,M,formal_calificado,propia,alto,medio,664000.0,3267000.0,9.0,libre_inversion,mora_leve,bueno
13,38.0,M,informal,propia,bajo,medio,535000.0,7140000.0,30.0,electrodomesticos,al_dia,bueno
14,38.0,M,formal_calificado,arrendada,bajo,medio,1440000.0,20467000.0,24.0,libre_inversion,al_dia,bueno
15,30.0,F,informal,arrendada,bajo,sin_cuenta,0.0,4674000.0,21.0,otros,mora_severa,bueno
16,,M,formal_no_calificado,propia,alto,sin_cuenta,0.0,1598000.0,12.0,remodelacion,mora_severa,bueno
17,33.0,M,informal,arrendada,medio,medio,359000.0,3061000.0,12.0,libre_inversion,al_dia,bueno
18,28.0,F,informal,propia,,alto,1405000.0,9895000.0,18.0,libre_inversion,mora_severa,bueno
19,41.0,M,formal_calificado,familiar,medio,bajo,205000.0,5719000.0,24.0,negocio,al_dia,bueno
